index,rank,book,german,english,gender,german_sentence,english_sentence
49,49,1,kein,no,prn,Leider hatte ich keine Wahl.,"Unfortunately, I had no choice."
50,50,1,nach,to / after,prp,Ich fliege morgen nach Italien.,I'm flying to Italy tomorrow.
51,51,1,all,all,prn,"Dieses Buch ist besser als alle, die ich gelesen habe.",This book is better than any I have ever read.
52,52,1,man,you / one,prn,Wie buchstabiert man deinen Nachnamen?,How do you spell your surname?
53,53,1,oder,or,con,Sind Sie verheiratet oder Single?,"Are you married, or are you single?"
54,54,1,nichts,nothing,prn,Warum sagen Sie nichts Nettes zu Ihrer Frau?,Why don't you say anything nice to your wife?
55,55,1,wo,where,adv,Und wo bist du inzwischen gewesen?,And where have you been since then?
56,56,1,wollen,want,av,"Sie können gehen, wohin Sie wollen.",You can go anywhere you want.
57,57,1,gehen,to go,vb,Lass uns zusammen essen gehen.,Let's go to eat together.
58,58,1,mehr,more,adv,"Wir können es uns nicht erlauben, noch mehr Zeit zu vertun.",We can't afford to waste any more time.
59,59,1,warum,why,adv,"Ich kann mir nicht vorstellen, warum.",I can't imagine why.
60,60,1,bitte,please,prt,Bitte sag das nicht!,Please don't say that.
61,61,1,etwas,something / some,prn,"Falls etwas passiert, kannst du mich gerne anrufen.","If something happens, feel free to call me."
62,62,1,bei,at / with,prp,Ich wohne wieder bei meinen Eltern.,I'm back at my parents' house.
63,63,1,müssen,must,av,Wir müssen die Polizei rufen.,We must call the police.
64,64,1,los,wrong / loose,adv,Was war los mit deiner Mutter?,What was wrong with your mother?
65,65,1,immer,always,adv,Ich war schon immer etwas neidisch auf deine Freundschaft mit John.,I've always been a little jealous of your friendship with John.
66,66,1,vor,in front of / before / ago,prp,Ich hatte ihn direkt vor mir.,I had him right there in front of me.
67,67,1,wieder,again,adv,"Ich verspreche, nicht wieder zu spät zu sein.",I promise I won't be late again.
68,68,1,sehr,very,adv,Das ist ein sehr seltsamer Brief.,This is a very strange letter.
69,69,1,sehen,to see,vb,Durchs Fenster werden Sie viele hohe Berge sehen.,You'll see a lot of high mountains through the window.
70,70,1,sagen,to tell,vb,Sie sagen nicht die Wahrheit.,You're not telling the truth.
71,71,1,also,so,adv,Dir ist das also schon mal passiert?,So has that ever happened to you before?
72,72,1,wer,who,prn,"Wir werden herausfinden, wer das war.",We're going to find out who did this.
73,73,1,denn,because,con,"Ich vertraue ihm, denn er lügt nie.",I trust him because he never tells a lie.
74,74,1,machen,to make,vb,"Ich sprach mit ihm auf Englisch und fand, dass ich mich verständlich machen konnte.",I spoke to him in English and found I could make myself understood.
75,75,1,dies,this,prn,All dies wird eines Tages dir gehören.,"One day, all this will become yours."
76,76,1,kommen,to come,vb,Du hättest nicht so früh kommen sollen.,You shouldn't have come so soon.
77,77,1,danken,to thank,vb,"Ich möchte die Gelegenheit nutzen, um Ihnen allen für das Vertrauen zu danken, das Sie in uns setzen.",I'd like to take this opportunity to thank you for all the trust you've placed in us.
78,78,1,tun,to do,vb,"John weiß, was wir tun.",John knows what we're doing.
79,79,1,geben,to give,vb,Kannst du mir deine Handy-Nummer geben?,Can you give me your cell number?
80,80,1,nie,never,adv,Sprich nie wieder so mit mir!,Don't ever talk to me like that again.
81,81,1,über,over,prp,Seit dem Unfall ist über ein Jahr vergangen.,It's been over a year since the accident.
82,82,1,sollen,should,av,Ich hätte etwas Kurzärmeliges anziehen sollen!,I should've worn something with short sleeves.
83,83,1,vielleicht,perhaps,adv,"Vielleicht könnt ihr etwas vorschlagen, was wir morgen machen können.",Perhaps you could suggest something we can do tomorrow.
84,84,1,der Weg,the way / road / away,M,Lasst uns diesen Weg gehen.,Let's go this way.
85,85,1,dein,your,prn,Wer ist eigentlich dein Lieblingssänger?,Who's actually your favorite singer?
86,86,1,das Leben,the life,N,Dein Leben wird solch ein wunderbares Abenteuer sein.,Your life is going to be such a marvelous adventure.
87,87,1,viel,a lot (of),nu,Ein Garten braucht viel Pflege und viel Liebe.,A garden needs a lot of care and a lot of love.
88,88,1,wirklich,really / real,adv,Dieses Lied gefällt mir wirklich.,I really like this song.
89,89,1,heute,today,adv,Was habt ihr heute für mich?,What do you have for me today?
90,90,1,ganz,quite / full,adv,Das Haus sieht mit dem erneuerten Anstrich ganz wunderbar aus.,The house looks quite wonderful with its fresh coat of paint.
91,91,1,die Zeit,the time,F,Die Zeit für eine Reise kann ich mir nicht leisten.,I can't afford the time for a journey.
92,92,1,bis,to / until,prp,Zähl von eins bis zwanzig.,Count from one to twenty.
93,93,1,einfach,simple / simply,adj,Ich stelle eine ganz einfache Frage.,I'm asking a very simple question.
94,94,1,zurück,back,adv,Wir fahren zurück in die Stadt.,We're going back to the city.
95,95,1,nun,now,adv,"Ich hörte, dass sein Vater nun im Krankenhaus ist.",I heard that his father is in the hospital now.
96,96,1,weil,because,con,"Ich fühle mich schuldig, weil ich gelogen habe.",I feel guilty because I have told a lie.
97,97,1,damit,so (that) / with it,con,"John krempelte seine Hosenbeine hoch, damit sie nicht nass werden konnten.","John rolled up his pant legs, so they wouldn't get wet."
98,98,1,na,well,int,"Na, das wurde aber auch Zeit.","Well, it was about time."
99,99,1,zwei,two,nu,Er tauschte seine Kuh gegen zwei Pferde aus.,He exchanged his cow for two horses.
100,100,1,hallo,hello,int,"Hallo, wie läuft das Geschäft?","Hello, how is the business?"
101,101,1,sicher,sure / safely,adj,"Bist du dir sicher, dass John keine Freundin hat?",Are you sure John doesn't have a girlfriend?
102,102,1,morgen,morning / tomorrow,adv,Morgen endet die wissenschaftliche Konferenz.,The scientific conference will end tomorrow.
103,103,1,ab,from,prp,Ab Freitag soll es warm werden.,It's going to be hot from Friday on.
104,104,1,das Leid,the sorrow,N,"Es tut mir leid, aber dadurch wurde das Leid der Familie noch vergrößert.","I'm sorry, but this added to the sorrow of the family."
105,105,1,lassen,to let,vb,Sie wollen mich nicht teilnehmen lassen.,They don't want to let me participate.
106,106,1,das Geld,the money,N,Teilen Sie das Geld unter sich auf!,Divide the money among you.
107,107,1,lieb,dear,adj,"Das ist sehr lieb von dir, danke.","That's very sweet of you, thanks."
108,108,1,der Tag,the day,M,Ich gehe jeden Tag spazieren.,I take a walk every day.
109,109,1,genau,exactly / exact,adv,Genau das habe ich gemeint.,That's exactly what I meant.
110,110,1,(he)raus,out,adv,Gehe nicht ohne Regenschirm aus.,Don't go out without an umbrella.
111,111,1,durch,by / through,prp,Die Kirche wurde durch Feuer zerstört.,The church was destroyed by fire.
112,112,1,schön,beautiful / beautifully,adj,Der Strand bei Sonnenuntergang ist sehr schön.,The beach at sunset is very beautiful.
113,113,1,wohl,well / probably,adv,Ihr werdet euch wohl nicht amüsieren.,You probably won't have fun.
114,114,1,klar,clear / clearly,adj,"Ich frage mich, ob John klar ist, wie einsam ich bin.",I wonder if John realizes how lonely I am.
115,115,1,glauben,to believe,vb,Ich kann es noch immer nicht glauben!,I still can't believe it!
116,116,1,her,here,adv,Die Menschen brachten uns nicht absichtlich her.,The people didn't dump us here on purpose.
117,117,1,okay,okay,prt,"Okay, ich werde es versuchen.","OK, I'll give it a try."
118,118,1,die Nacht,the night,F,Halloween ist eine Nacht voller Überraschungen.,Halloween is a night full of surprises.
119,119,1,ohne,without,prp,Können Sie sich die Welt ohne Geld vorstellen?,Can you imagine the world without money?
120,120,1,die Liebe,the love,F,Nur die Liebe kann die Welt verändern.,Only love can change the world.
121,121,1,unser,our,prn,Sie spielen gerade unser Lied.,They're playing our song.
122,122,1,jemand,someone,prn,Jemand hat die ganze linke Seite meines Autos zerkratzt!,Someone keyed the whole left side of my car!
123,123,1,reden,to talk,vb,"Ich brauche jemanden, mit dem ich reden kann.",I need someone to talk with.
124,124,1,gerade,just / straight,adv,Meine Karriere hat gerade erst angefangen.,My career has just started.
125,125,1,ob,whether,con,"Ich habe John gefragt, ob er einen guten Anwalt empfehlen könnte.",I asked John if he could recommend a good lawyer.
126,126,1,hören,to hear,vb,Wir hören dich oft singen.,We often hear you sing.
127,127,1,mögen,like / may,av,"Menschen, die Hunde nicht mögen, sind mir suspekt.",I'm suspicious of people who don't like dogs.
128,128,1,dort,there,adv,"Ich schlage vor, dass wir dort eine neue Fabrik bauen.",I suggest that we should build a new factory there.
129,129,1,anderer,another,prn,Zeig mir ein anderes Beispiel.,Show me another example.
130,130,1,selbst,self / even,prn,Ich werde diesen Kuchen für mich selbst behalten,I'll keep this cake for myself.
131,131,1,denken,to think,vb,"John ist älter, als Sie denken.",John is older than you think.
132,132,1,paar,a couple (of),prn,Er hat höchstens ein paar Stunden.,He's got a couple of hours at most.
133,133,1,weiter,further,adj,Trotzdem gehen wir einen Schritt weiter.,"Nevertheless, we are now going a step further."
134,134,1,der Herr,the Mister,M,Wie geht es Ihrer Frau?,How's your wife?
135,135,1,die Ordnung,the order,F,Ich will die Ordnung nicht umstoßen. Es ist in Ordnung.,I don't want to upset the order. It's OK.
136,136,1,passieren,to happen,vb,Was würde mit ihm passieren?,What would happen to him?
137,137,1,lange,a long time,adv,"Ich brauchte lange, um einzuschlafen.",It took me a long time to fall asleep.
138,138,1,gar,at all,adv,Ich kann gar nicht kochen.,I can't cook at all.
139,139,1,hin,there / broken (coll),adv,Aber ich will da nicht hin.,But I'm not going there.
140,140,1,gleich,same / immediately,adj,Alle Jungen sind gleich alt.,All the boys are the same age.
141,141,1,der Freund,the friend / boyfriend,M,Ein alter Freund kam zum Abendessen.,An old friend came by for dinner.
142,142,1,seit,since,con,Seit wann wohnt John in Deutschland?,Since when has John been living in Germany?
143,143,1,die Welt,the world,F,Warum hat Gott die Welt gerade so erschaffen?,Why did God make the world the way He did?
144,144,1,das Haus,the house,N,Dieses Haus ist wirklich alt.,This house is really old.
145,145,1,natürlich,of course / natural,adv,John liebt natürlich seine Kinder.,"John loves his children, of course."
146,146,1,der Abend,the evening,M,Wir hatten gestern einen wundervollen Abend.,We were having a wonderful evening last night.
147,147,1,drei,three,nu,Es dauerte nur drei Stunden.,It only took three hours.
148,148,1,recht,right / law / quite (coll),adj,"Nehmen wir mal an, sie hat recht.",Let's just say that she's right.
149,149,1,richtig,right,adj,Sag mir die richtige Antwort.,Tell me the right answer.
150,150,1,finden,to find,vb,"Ich muss versuchen, John zu finden.",I've got to try to find John.
151,151,1,wieso,why,adv,"Ich frage mich, wieso Eier im Dutzend verkauft werden.",I wonder why eggs are sold by the dozen.
152,152,1,bleiben,to stay,vb,"John wollte gehen, doch Jane wollte noch etwas bleiben.","John wanted to leave, but Jane wanted to stay a little longer."
153,153,1,tot,dead,adj,"Du sagtest doch, er sei tot.",I thought you said he was dead.
154,154,1,unter,under,prp,Das Papier ist unter dem Tisch.,The paper is under the table.
155,155,1,jung,young,adj,John ist nicht so jung wie ich.,John is not as young as I am.
156,156,1,essen,to eat / food,vb,"Iss deine Suppe, bevor sie kalt wird.",Eat your soup before it gets cold.
157,157,1,davon,of it,,Du hast vielleicht davon gehört.,You may have heard of it.
158,158,1,nehmen,to take,vb,"Können Sie uns einen Extrarabatt von % geben, falls wir von diesem Artikel Stück nehmen?",Are you able to grant us a special discount of 5% for 50 sets of the product?
159,159,1,helfen,to help,vb,"Ich habe euch ja gesagt, dass John uns helfen würde.",I told you John would help us out.
160,160,1,schnell,fast,adj,Ich bin nicht schnell genug.,I'm not fast enough.
161,161,1,warten,to wait,vb,John kann nicht auf dich warten.,John can't wait for you.
162,162,1,wegen,because of,prp,Wir hatten gerade einen Riesenstreit wegen John.,We just had a giant argument because of John.
163,163,1,stimmen,to be correct / vote,vb,Die Adresse stimmt nicht mehr.,The address isn't correct anymore.
164,164,1,dafür,for that,,Sie müssen noch dafür bezahlen.,You still have to pay for that.
165,165,1,dürfen,be allowed to,av,Kinder sollen Kind sein dürfen.,Children should be allowed to be children.
166,166,1,genug,enough,adv,John war nicht stark genug.,John wasn't strong enough.
167,167,1,sonst,otherwise,adv,Sonst gehe ich zur Konkurrenz.,"Otherwise, I'll go to the competition."
168,168,1,die Scheiße,the shit,F,Ihm steht die Scheiße bis zum Hals.,He is in deep shit.
169,169,1,halt,stop,int,Halt! Hier können Sie nicht durch.,Stop! You can't continue.
170,170,1,zusammen,together,adv,Wir dürfen zusammen durch die Gärten gehen.,We're allowed to walk through the gardens together.
171,171,1,gegen,against,prp,Das ist gegen den Vertrag.,That's against the contract.
172,172,1,das Jahr,the year,N,Der Umsatz dieses Unternehmens ist dieses Jahr um % gestiegen.,The business has expanded by 50% this year.
173,173,1,erst,first / only,adv,Aber erst muss ich etwas klarstellen.,"But first, I need to come clean."
174,174,1,stehen,to stand,vb,"Ich möchte wissen, wo wir stehen.",I want to know where we stand.
175,175,1,verdammt,damn,adj,Das ist eine verdammt schlechte Wahl.,"Damn, that was a bad choice."
176,176,1,bringen,to bring,vb,Jemand musste dich zur Vernunft bringen.,Somebody had to bring you back to your senses.
177,177,1,niemand,nobody,prn,Niemand kann älter als seine Mutter sein.,It's impossible for someone to be older than his mother.
178,178,1,brauchen,to need,vb,Sie brauchen also tatsächlich keinen Makler mehr.,You really don't need a real estate agent anymore.
179,179,1,fragen,to ask,vb,Warum fragst du nicht deine Mutter?,Why don't you ask your mother?
180,180,1,wann,when,adv,Wann waren Sie in Rom?,When were you in Rome?
181,181,1,heißen,to be called,vb,Die Kinder heißen John und Jane.,The children are called John and Jane.
182,182,1,sprechen,to speak,vb,Ich muss dringend mit Ihnen sprechen.,It's urgent that I speak with you.
183,183,1,jeder,every(body),prn,Ich gehe jeden Morgen einkaufen.,I go shopping every morning.
184,184,1,sofort,immediately,adv,"Wir müssen die Äpfel sofort pflücken, sonst faulen sie.","We have to pick the apples right now, or they'll decay."
185,185,1,fertig,finished / ready,adj,John wurde als Vorletzter fertig.,John finished second-to-last.
186,186,1,kennen,to know,vb,Wir kennen sie leider nicht.,"Unfortunately, we don't know her."
187,187,1,einmal,once,adv,Er lässt sich einmal im Monat die Haare schneiden.,He has his hair cut once a month.
188,188,1,der Sohn,the son,M,Mein Sohn liest sehr gerne Dinosaurierbücher.,My son loves to read books about dinosaurs.
189,189,1,halten,to keep / hold,vb,Du musst nur dein Versprechen halten.,All you have to do is keep your promise.
190,190,1,dabei,with it / there,adv,Ich hatte wirklich Spaß dabei.,I really had fun with it.
191,191,1,das Kind,the child,N,Ein Prinz kann kein Kind aufziehen.,A prince should not be raising a child.
192,192,1,allein,alone / only,adj,Warum seid ihr hier allein?,Why are you alone here?
193,193,1,bevor,before,con,"Wir müssen diese Katastrophe aufhalten, bevor sie losbricht.",We have to stop this disaster before it begins.
194,194,1,die Musik,the music,F,"Was magst du lieber, Rockmusik oder klassische Musik?","Which do you like better, rock music or classical music?"
195,195,1,wahr,true / real,adj,"Ich weiß, dass es nicht wahr ist.",I know that it isn't true.
196,196,1,der Kopf,the head,M,Es wird mir nicht zu Kopf steigen.,I won't let it go to my head.
197,197,1,die Sache,the thing,F,Die ganze Sache dauerte keine Stunde.,The whole thing took less than an hour.
198,198,1,gern,gladly,adv,Ich helfe dir gerne. Ich kaufe gern ein.,I'll gladly help you. I like shopping.
199,199,1,enden,to end,vb,"Wenn du weiter so viel trinkst, wirst du womöglich als Alkoholiker enden.","If you go on drinking so much, you may well end up an alcoholic."
200,200,1,spät,late,adv,Ab und zu kommt sie zu spät in die Schule.,"Once in a while, she is late for school."
201,201,1,vergessen,to forget,vb,"Sein Cousin, dessen Namen ich vergessen habe, war ein Krankenpfleger.","His cousin, whose name I forgot, was a nurse."
202,202,1,(he)runter,down,adv,Sie lief die Treppe runter.,She went down the stairs.
203,203,1,fahren,to drive,vb,Sie kann nicht Auto fahren.,She can't drive a car.
204,204,1,der Name,the name,M,"Gedankenverloren hörte er, wie sein Name gerufen wurde.","While he was lost in thought, he heard his name called."
205,205,1,dank,thanks to,prp,Mir geht es dank der ärztlichen Behandlung besser.,I'm feeling much better thanks to that medical treatment.
206,206,1,eins,one,nu,"Zehn zu eins, dass sie den Zug verpassen werden!",Ten to one they'll miss the train.
207,207,1,daran,about that,,Ich kann daran nichts Komisches entdecken.,I don't see anything funny about it.
208,208,1,dazu,to that,,Möchtest du etwas dazu sagen?,Would you like to say something to that?
209,209,1,egal,(all) the same,adj,Die Meinungen der anderen sind mir egal.,The opinion of others is all the same to me.
210,210,1,weit,far,adj,Wie weit ist der Flughafen entfernt?,How far is the airport?
211,211,1,sterben,to die,vb,Ich kann hier nicht sterben.,I can't die here.
212,212,1,die Minute,the minute,F,Könnten Sie mir eine Minute lang zuhören?,Can you listen to me for a minute?
213,213,1,verstehen,to understand,vb,"Sie verstehen sicherlich, was das bedeutet.",I'm sure you understand the significance of that.
214,214,1,die Hilfe,the help,F,Wir bedürfen deiner Hilfe nicht.,We don't need your help.
215,215,1,beide,both,prn,John und Jane lernen beide Französisch.,Both John and Jane study French.
216,216,1,bald,soon,adv,Wir müssen sie möglichst bald aufhalten.,We must stop them as soon as possible.
217,217,1,klein,small,adj,"Dieser Schraubenzieher ist zu klein, um nützlich zu sein.",This screwdriver is too small to be any use.
218,218,1,das Baby,the baby,N,Das Baby gleicht seiner Mutter.,The baby takes after his mother.
219,219,1,das Glück,the luck / happiness,N,Ich wünsche euch viel Glück.,I wish you the best of luck.
220,220,1,verrückt,crazy / crazily,adj,Ihr seid beide wirklich verrückt.,You are both really crazy.
221,221,1,ruhig,quiet / quietly,adj,Könntet ihr bitte ruhig sein?,Could you please be quiet?
222,222,1,darüber,about it,,"Ich hoffe, Sie ändern Ihre Meinung darüber.",I do hope you change your mind about that.
223,223,1,die Tür,the door,F,Kannst du bitte die Tür schließen?,Can you please close the door?
224,224,1,das Wasser,the water,N,"Nur Wasser für mich, danke.","Only water for me, thank you."
225,225,1,das Auto,the car,N,Das Auto ist eine wunderbare Erfindung.,The automobile is a wonderful invention.
226,226,1,eigentlich,actually / actual,adv,Ich möchte Sie eigentlich nicht mit meinen Problemen belasten.,I don't really want to bother you with my problems.
227,227,1,euer,your,prn,Ihr müsst eure Zähne putzen.,You must brush your teeth.
228,228,1,die Ruhe,the silence,F,"Ruhe, bitte. Die Kinder schlafen.","Silence, please. The children are sleeping."
229,229,1,töten,to kill,vb,Ohne Pistole kannst du niemanden töten.,You can't kill anybody without a gun.
230,230,1,vorbei,by / over,adv,Die guten Zeiten sind längst vorbei.,The good days have been over for a long time.
231,231,1,der Krieg,the war,M,Der Krieg dauerte drei Jahre.,The war lasted for two years.
232,232,1,je,ever / each,adv,"Shakespeare ist der größte Dichter, den England je hervorgebracht hat.",Shakespeare is the greatest poet that England has ever produced.
233,233,1,darauf,on that,prn,Darauf müssen wir uns konzentrieren.,We must concentrate on that.
234,234,1,letzter,last,adj,Das waren seine letzten Worte.,Those were his last words.
235,235,1,lang,long,adj,Ich habe sehr langes Haar.,I have very long hair.
236,236,1,bisschen,(a) little,prn,Seit einem Monat haben wir ein bisschen Schnee.,"For the past month, we've had a little snow."
237,237,1,hoch,high,adj,Die Freiheitsstatue ist Meter hoch.,The Statue of Liberty is 46 meters tall.
238,238,1,fast,almost,adv,"Es sind schon fast Jahre vergangen, aber du bist unverändert schön.","It's been almost ten years, but you're as beautiful as ever."
239,239,1,schauen,to look,vb,"Entschuldigung, aber darunter darf niemand schauen.","Forgive me, but no one must look under there."
240,240,1,sogar,even,adv,Ich habe sogar noch etwas Besseres.,I've got something even better.
241,241,1,spielen,to play,vb,Natürlich kann John Tennis spielen.,John sure can play tennis.
242,242,1,hinter,behind,prp,Dann hörte John Schritte hinter sich.,Then John heard footsteps behind him.
243,243,1,das Ding,the thing,N,"Ich versuche, das Ding zu reparieren.",I will try to fix the thing.
244,244,1,die Mama,the mom,F,"Mama, ich muss jetzt gehen.","Mom, I have to go now."
245,245,1,bekommen,to get,vb,Versuche die Liste der möglichen Kandidaten zu bekommen.,See if you can get that list of possible candidates.
246,246,1,oben,above,adv,Er wartet dort oben auf dich.,He's up there waiting for you.
247,247,1,bereit,ready,adj,Die aufzugeben bin ich nicht bereit.,"That, I'm not ready to give up."
248,248,1,d(a)rin,in it,adv,Es ist ganz schön dunkel hier drin.,It's really dark in here.
249,249,1,neu,new / newly,adj,"Ich bin neu hier, weißt du.","I am new here, you see."
250,250,1,woher,from where,adv,"Ich weiß nicht, woher das kam.",I don't know where that came from.
251,251,1,der Wagen,the car / dare,M,"Ich sagte dir doch, dass du im Wagen bleiben sollst!",I told you to stay in the car.
252,252,1,arbeiten,to work,vb,"Sehen Sie, Sie sollten nicht so hart arbeiten.","See, you shouldn't work so hard."
253,253,1,etwa,about,adv,Der durchschnittliche Abstand zwischen den Sternen unserer Galaxie beträgt etwa vier Lichtjahre.,The average distance between stars within our galaxy is about 4 light years.
254,254,1,echt,real / really,adj,Das ist aber echt niedlich.,That's really cute.
255,255,1,die Geschichte,the history / story,F,Er hat französische Geschichte studiert.,He studied French history.
256,256,1,treffen,to meet / hit,vb,Ich würde gerne Ihre Tänzerin treffen.,I'd like to meet with your dancer.
257,257,1,toll,great,adj,John ist ein toller Freund.,John is a great friend.
258,258,1,draußen,outside / out,adv,John ist noch nicht draußen.,John isn't outside yet.
259,259,1,fünf,five,nu,"Ich glaube nicht, dass ich bis fünf Uhr mit der ganzen Arbeit fertig sein werde.",I don't think I can get through all this work by five.
260,260,1,das Zimmer,the room,N,Mein Zimmer ist echt groß.,My room is really big.
261,261,1,der Job,the job,M,Ich hasse meinen Job nicht.,I don't hate my job.
262,262,1,nett,nice / nicely,adj,Sie sind sehr nett und ich hätte gerne noch einen weiteren Drink.,"You are very nice, and I would like another drink."
263,263,1,groß,large,adj,Ein großer Felsen stieg aus der See empor.,A large rock rose out of the sea.
264,264,1,anders,differently,adv,Das wird demnächst ganz anders aussehen.,It's going to look a lot different one of these days.
265,265,1,sorgen,to care / worry,vb,Wir müssen uns hier nicht sorgen.,We don't have to worry in here.
266,266,1,welcher,which,prn,"Ich weiß nicht, welchen Weg ich nehmen soll.",I don't know which way to go.
267,267,1,einzig,only,adj,Der einzig Merkwürdige hier bist du.,The only strange one around here is you.
268,268,1,die Art,the type,F,Welche der Information suchen Sie?,What type of information are you looking for?
269,269,1,liegen,to lie,vb,Müssen wir flach auf dem Boden liegen?,Do we have to lie flat on the ground?
270,270,1,verloren,lost,adj,Ich muss die verlorene Zeit aufholen.,I must make up for the lost time.
271,271,1,vier,four,nu,Wir möchten eines Tages vier Kinder haben.,We would like to have four children one day.
272,272,1,alt,old,adj,Ich bin jetzt Jahre alt.,I am 30 years old now.
273,273,1,der Kerl,the guy,M,Der Kerl ist offensichtlich etwas verloren ohne seine Partnerin.,"Clearly, the guy is a little lost without his partner."
274,274,1,gestern,yesterday,adv,Ich sah diesen Film gestern Abend und er gefiel mir wirklich gut.,I watched this movie last night and I really liked it.
275,275,1,wenig,few / little,prn,Leider wurden bisher nur sehr wenige Fortschritte erzielt.,"Unfortunately, there has been very little progress so far."
276,276,1,bestimmt,certainly / certain,adv,Der Nachtisch wird dir bestimmt schmecken.,You'll certainly like the dessert.
277,277,1,kurz,short / shortly,adj,Das Kleid ist zu kurz für mich.,The dress is too short for me.
278,278,1,überhaupt,at all,adv,Mich interessiert Kunst überhaupt nicht.,I'm not interested in art at all.
279,279,1,darum,that is why / around that,adv,"Doch, darum brauchst du mich.",But that's why you need me.
280,280,1,die Schwester,the sister / nurse,F,"Meine Schwester ist zu jung, um in die Schule zu gehen.",My sister is too young to go to school.
